Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.07616	0.01378	0.10569	5.909	1.000	0.169	0.500	0.500	11	11
0.07323	0.00889	0.10569	5.417	1.000	0.185	0.478	0.522	11	12
0.06722	0.00579	0.10554	4.091	0.818	0.200	0.409	0.591	9	13
0.06451	0.00503	0.10554	3.799	0.818	0.215	0.391	0.609	9	14
0.06201	0.00452	0.10554	3.545	0.818	0.231	0.375	0.625	9	15
0.05346	0.00428	0.10525	2.216	0.545	0.246	0.273	0.727	6	16
0.04883	0.00352	0.10490	1.738	0.455	0.262	0.227	0.773	5	17
0.04421	0.00320	0.10437	1.738	0.455	0.262	0.227	0.773	5	17
0.03798	0.00265	0.10278	1.244	0.364	0.292	0.174	0.826	4	19
0.03504	0.00265	0.10261	0.933	0.273	0.292	0.136	0.864	3	19
0.03048	0.00247	0.09469	0.591	0.182	0.308	0.091	0.909	2	20
0.02625	0.00162	0.08602	0.591	0.182	0.308	0.091	0.909	2	20
0.02240	0.00125	0.08462	0.281	0.091	0.323	0.045	0.955	1	21
0.01860	0.00088	0.08106	0.281	0.091	0.323	0.045	0.955	1	21
0.01431	0.00054	0.07605	0.000	0.000	0.354	0.000	1.000	0	23
0.01151	0.00054	0.06462	0.000	0.000	0.338	0.000	1.000	0	22
0.00859	0.00040	0.03823	0.000	0.000	0.338	0.000	1.000	0	22
0.00605	0.00011	0.03088	0.000	0.000	0.385	0.000	1.000	0	25
0.00482	0.00009	0.02716	0.000	0.000	0.385	0.000	1.000	0	25
0.00389	0.00009	0.01575	0.000	0.000	0.369	0.000	1.000	0	24
0.00244	0.00002	0.01481	0.000	0.000	0.492	0.000	1.000	0	32
0.00115	0.00000	0.01378	0.000	0.000	0.846	0.000	1.000	0	55
0.00092	0.00000	0.00889	0.000	0.000	0.831	0.000	1.000	0	54
0.00077	0.00000	0.00579	0.000	0.000	0.815	0.000	1.000	0	53
0.00067	0.00000	0.00503	0.000	0.000	0.800	0.000	1.000	0	52
0.00058	0.00000	0.00452	0.000	0.000	0.785	0.000	1.000	0	51
0.00051	0.00000	0.00428	0.000	0.000	0.769	0.000	1.000	0	50
0.00043	0.00000	0.00352	0.000	0.000	0.754	0.000	1.000	0	49
0.00036	0.00000	0.00320	0.000	0.000	0.738	0.000	1.000	0	48
0.00030	0.00000	0.00266	0.000	0.000	0.723	0.000	1.000	0	47
0.00030	0.00000	0.00266	0.000	0.000	0.723	0.000	1.000	0	47
0.00020	0.00000	0.00247	0.000	0.000	0.692	0.000	1.000	0	45
0.00015	0.00000	0.00162	0.000	0.000	0.677	0.000	1.000	0	44
0.00011	0.00000	0.00125	0.000	0.000	0.662	0.000	1.000	0	43
0.00009	0.00000	0.00088	0.000	0.000	0.646	0.000	1.000	0	42
0.00007	0.00000	0.00060	0.000	0.000	0.631	0.000	1.000	0	41
0.00007	0.00000	0.00060	0.000	0.000	0.631	0.000	1.000	0	41
0.00004	0.00000	0.00040	0.000	0.000	0.600	0.000	1.000	0	39
0.00003	0.00000	0.00019	0.000	0.000	0.585	0.000	1.000	0	38
0.00003	0.00000	0.00019	0.000	0.000	0.585	0.000	1.000	0	38
0.00003	0.00000	0.00019	0.000	0.000	0.585	0.000	1.000	0	38
0.00003	0.00000	0.00019	0.000	0.000	0.585	0.000	1.000	0	38
0.00003	0.00000	0.00019	0.000	0.000	0.569	0.000	1.000	0	37
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00011	0.000	0.000	0.538	0.000	1.000	0	35
0.00002	0.00000	0.00009	0.000	0.000	0.523	0.000	1.000	0	34
0.00002	0.00000	0.00009	0.000	0.000	0.523	0.000	1.000	0	34
0.00002	0.00000	0.00009	0.000	0.000	0.523	0.000	1.000	0	34
