Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.18671	0.17625	0.22672	4.026	0.116	0.029	0.399	0.601	69	104
0.18610	0.17483	0.22579	3.841	0.116	0.030	0.388	0.612	69	109
0.18466	0.17431	0.22057	3.708	0.111	0.030	0.379	0.621	66	108
0.18424	0.17431	0.21662	3.596	0.108	0.030	0.372	0.628	64	108
0.18401	0.17389	0.21662	3.553	0.110	0.031	0.369	0.631	65	111
0.18401	0.17389	0.21662	3.553	0.110	0.031	0.369	0.631	65	111
0.18284	0.17330	0.21462	3.413	0.106	0.031	0.360	0.640	63	112
0.18229	0.17330	0.21342	3.334	0.103	0.031	0.355	0.645	61	111
0.16847	0.13509	0.21286	3.282	0.223	0.068	0.351	0.649	132	244
0.15410	0.13474	0.16884	3.007	0.096	0.032	0.331	0.669	57	115
0.15398	0.13453	0.16884	2.981	0.096	0.032	0.329	0.671	57	116
0.15369	0.13367	0.16842	2.929	0.094	0.032	0.326	0.674	56	116
0.15358	0.13355	0.16842	2.904	0.094	0.033	0.324	0.676	56	117
0.15316	0.13273	0.16783	2.904	0.094	0.033	0.324	0.676	56	117
0.15316	0.13273	0.16783	2.904	0.094	0.033	0.324	0.676	56	117
0.15269	0.13207	0.16783	2.882	0.096	0.033	0.322	0.678	57	120
0.15243	0.13207	0.16741	2.804	0.093	0.033	0.316	0.684	55	119
0.15028	0.12717	0.16686	2.733	0.099	0.036	0.311	0.689	59	131
0.11175	0.06505	0.16452	2.608	0.238	0.091	0.301	0.699	141	328
0.07960	0.06485	0.08991	2.117	0.076	0.036	0.259	0.741	45	129
0.07916	0.06462	0.08964	1.992	0.073	0.036	0.247	0.753	43	131
0.07283	0.05485	0.08964	1.888	0.103	0.054	0.237	0.763	61	196
0.06592	0.05436	0.08007	1.870	0.069	0.037	0.236	0.764	41	133
0.06584	0.05436	0.07979	1.825	0.067	0.037	0.231	0.769	40	133
0.06584	0.05436	0.07979	1.825	0.067	0.037	0.231	0.769	40	133
0.06554	0.05415	0.07945	1.825	0.067	0.037	0.231	0.769	40	133
0.06461	0.05374	0.07945	1.799	0.073	0.040	0.229	0.771	43	145
0.06413	0.05374	0.07867	1.764	0.069	0.039	0.225	0.775	41	141
0.06413	0.05374	0.07867	1.764	0.069	0.039	0.225	0.775	41	141
0.06413	0.05374	0.07867	1.764	0.069	0.039	0.225	0.775	41	141
0.06174	0.05038	0.07867	1.636	0.081	0.049	0.212	0.788	48	178
0.05759	0.04990	0.06862	1.517	0.061	0.040	0.200	0.800	36	144
0.05729	0.04990	0.06743	1.517	0.059	0.039	0.200	0.800	35	140
0.05729	0.04990	0.06743	1.517	0.059	0.039	0.200	0.800	35	140
0.05719	0.04979	0.06734	1.517	0.059	0.039	0.200	0.800	35	140
0.05689	0.04944	0.06725	1.517	0.059	0.039	0.200	0.800	35	140
0.05493	0.04575	0.06660	1.490	0.071	0.048	0.197	0.803	42	171
0.05281	0.04557	0.06150	1.381	0.056	0.040	0.185	0.815	33	145
0.05281	0.04557	0.06150	1.381	0.056	0.040	0.185	0.815	33	145
0.05217	0.04476	0.06073	1.381	0.056	0.040	0.185	0.815	33	145
0.05202	0.04476	0.06003	1.358	0.054	0.040	0.183	0.817	32	143
0.05202	0.04476	0.06003	1.358	0.054	0.040	0.183	0.817	32	143
