Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.18142	0.17991	0.18181	5.516	0.283	0.051	0.561	0.439	32	25
0.18142	0.17991	0.18181	5.516	0.283	0.051	0.561	0.439	32	25
0.17208	0.14819	0.18181	5.440	0.681	0.125	0.558	0.442	77	61
0.16087	0.14716	0.17138	5.344	0.274	0.051	0.554	0.446	31	25
0.15992	0.14527	0.17110	4.948	0.274	0.055	0.534	0.466	31	27
0.15845	0.14142	0.16971	4.948	0.274	0.055	0.534	0.466	31	27
0.15755	0.14042	0.16842	4.629	0.257	0.055	0.518	0.482	29	27
0.15704	0.13959	0.16779	4.310	0.248	0.057	0.500	0.500	28	28
0.15094	0.11797	0.16686	3.844	0.292	0.076	0.471	0.529	33	37
0.14663	0.11772	0.16289	3.735	0.230	0.062	0.464	0.536	26	30
0.14573	0.11230	0.16264	3.735	0.230	0.062	0.464	0.536	26	30
0.14477	0.10922	0.16249	3.735	0.230	0.062	0.464	0.536	26	30
0.13626	0.09099	0.16230	3.017	0.248	0.082	0.412	0.588	28	40
0.12983	0.08991	0.15750	3.004	0.204	0.068	0.411	0.589	23	33
0.12862	0.08958	0.15712	2.789	0.195	0.070	0.393	0.607	22	34
0.12736	0.08647	0.15511	2.586	0.186	0.072	0.375	0.625	21	35
0.12609	0.08387	0.15446	2.586	0.186	0.072	0.375	0.625	21	35
0.12482	0.08332	0.15373	2.586	0.186	0.072	0.375	0.625	21	35
0.12349	0.07945	0.15277	2.586	0.186	0.072	0.375	0.625	21	35
0.12212	0.07610	0.15264	2.394	0.177	0.074	0.357	0.643	20	36
0.12069	0.07246	0.15254	2.213	0.168	0.076	0.339	0.661	19	37
0.11920	0.06899	0.15199	2.041	0.159	0.078	0.321	0.679	18	38
0.11771	0.06862	0.15169	1.879	0.150	0.080	0.304	0.696	17	39
0.10954	0.05980	0.15144	1.820	0.168	0.092	0.297	0.703	19	45
0.10239	0.05746	0.14337	1.437	0.124	0.086	0.250	0.750	14	42
0.10086	0.05725	0.14300	1.437	0.124	0.086	0.250	0.750	14	42
0.09931	0.05643	0.14142	1.303	0.115	0.088	0.232	0.768	13	43
0.09778	0.05560	0.14042	1.303	0.115	0.088	0.232	0.768	13	43
0.09626	0.05520	0.13959	1.303	0.115	0.088	0.232	0.768	13	43
0.09475	0.05508	0.13904	1.303	0.115	0.088	0.232	0.768	13	43
0.09323	0.05436	0.13692	1.303	0.115	0.088	0.232	0.768	13	43
0.09172	0.05182	0.13674	1.303	0.115	0.088	0.232	0.768	13	43
0.09019	0.05151	0.13546	1.175	0.106	0.090	0.214	0.786	12	44
0.08869	0.05128	0.13273	1.175	0.106	0.090	0.214	0.786	12	44
0.08723	0.05113	0.13207	1.175	0.106	0.090	0.214	0.786	12	44
0.08578	0.05099	0.13098	1.175	0.106	0.090	0.214	0.786	12	44
0.08435	0.05070	0.13044	1.053	0.097	0.092	0.196	0.804	11	45
0.08292	0.05009	0.12876	1.053	0.097	0.092	0.196	0.804	11	45
0.07694	0.04237	0.12797	0.894	0.097	0.109	0.172	0.828	11	53
0.06899	0.04200	0.10726	0.808	0.080	0.099	0.158	0.842	9	48
0.06831	0.04200	0.10696	0.718	0.071	0.099	0.143	0.857	8	48
0.06428	0.03646	0.10575	0.638	0.071	0.111	0.129	0.871	8	54
0.05880	0.03634	0.09937	0.517	0.053	0.103	0.107	0.893	6	50
0.05767	0.03623	0.09462	0.517	0.053	0.103	0.107	0.893	6	50
0.05660	0.03487	0.09283	0.517	0.053	0.103	0.107	0.893	6	50
0.04125	0.02114	0.09099	0.517	0.106	0.205	0.107	0.893	12	100
0.02287	0.01518	0.03437	0.422	0.080	0.189	0.089	0.911	9	92
0.01826	0.01448	0.02287	0.378	0.044	0.117	0.081	0.919	5	57
0.01408	0.00870	0.02191	0.258	0.062	0.240	0.056	0.944	7	117
0.00694	0.00441	0.01298	0.164	0.062	0.378	0.037	0.963	7	184
0.00467	0.00441	0.00539	0.144	0.027	0.185	0.032	0.968	3	90
0.00466	0.00440	0.00533	0.144	0.027	0.185	0.032	0.968	3	90
0.00465	0.00440	0.00533	0.142	0.027	0.187	0.032	0.968	3	91
0.00465	0.00440	0.00533	0.142	0.027	0.187	0.032	0.968	3	91
0.00454	0.00432	0.00529	0.119	0.035	0.298	0.027	0.973	4	145
0.00440	0.00432	0.00451	0.045	0.009	0.197	0.010	0.990	1	96
