Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.20140	0.18734	0.21788	7.219	0.593	0.082	0.626	0.374	67	40
0.19428	0.18469	0.20253	6.723	0.345	0.051	0.609	0.391	39	25
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.19103	0.18432	0.20253	5.676	0.478	0.084	0.568	0.432	54	41
0.18756	0.18432	0.20233	5.224	0.354	0.068	0.548	0.452	40	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18735	0.18432	0.19614	5.093	0.345	0.068	0.542	0.458	39	33
0.18641	0.18432	0.19327	4.179	0.283	0.068	0.492	0.508	32	33
0.18641	0.18432	0.19327	4.179	0.283	0.068	0.492	0.508	32	33
0.18619	0.18432	0.19250	4.175	0.274	0.066	0.492	0.508	31	32
0.18432	0.17874	0.19111	2.386	0.274	0.115	0.356	0.644	31	56
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18335	0.17874	0.18744	2.023	0.204	0.101	0.319	0.681	23	49
0.18247	0.17874	0.18471	1.892	0.159	0.084	0.305	0.695	18	41
0.18247	0.17874	0.18471	1.892	0.159	0.084	0.305	0.695	18	41
0.18247	0.17874	0.18471	1.892	0.159	0.084	0.305	0.695	18	41
0.18221	0.17808	0.18432	1.787	0.150	0.084	0.293	0.707	17	41
0.18205	0.17761	0.18432	1.704	0.150	0.088	0.283	0.717	17	43
0.18205	0.17761	0.18432	1.704	0.150	0.088	0.283	0.717	17	43
0.18197	0.17732	0.18432	1.665	0.150	0.090	0.279	0.721	17	44
0.18190	0.17704	0.18432	1.628	0.150	0.092	0.274	0.726	17	45
0.18165	0.17669	0.18432	1.526	0.150	0.099	0.262	0.738	17	48
0.18165	0.17669	0.18432	1.526	0.150	0.099	0.262	0.738	17	48
0.18165	0.17669	0.18432	1.526	0.150	0.099	0.262	0.738	17	48
0.18150	0.17633	0.18432	1.465	0.150	0.103	0.254	0.746	17	50
0.18150	0.17633	0.18432	1.465	0.150	0.103	0.254	0.746	17	50
0.17866	0.17163	0.18432	1.330	0.221	0.166	0.236	0.764	25	81
0.17541	0.17163	0.17879	0.718	0.080	0.111	0.143	0.857	9	54
0.16534	0.14900	0.17879	0.536	0.230	0.429	0.111	0.889	26	209
