Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.15936	0.12880	0.21812	1.527	0.788	0.516	0.211	0.789	26	97
0.14336	0.12880	0.14938	1.386	0.273	0.197	0.196	0.804	9	37
0.14273	0.12830	0.14938	1.315	0.273	0.207	0.188	0.812	9	39
0.14273	0.12830	0.14938	1.315	0.273	0.207	0.188	0.812	9	39
0.14087	0.12591	0.14938	1.139	0.273	0.239	0.167	0.833	9	45
0.14033	0.12583	0.14938	1.091	0.273	0.250	0.161	0.839	9	47
0.12240	0.08731	0.14938	0.760	0.424	0.559	0.118	0.882	14	105
0.09324	0.05935	0.10987	0.380	0.121	0.319	0.062	0.938	4	60
