Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.18490	0.17317	0.22675	8.149	0.975	0.120	0.368	0.632	39	67
0.18191	0.17317	0.20403	7.677	0.850	0.111	0.354	0.646	34	62
0.18191	0.17317	0.20403	7.677	0.850	0.111	0.354	0.646	34	62
0.17654	0.16761	0.20403	3.195	0.850	0.266	0.186	0.814	34	149
0.17081	0.16732	0.17317	3.000	0.525	0.175	0.176	0.824	21	98
0.17081	0.16732	0.17317	3.000	0.525	0.175	0.176	0.824	21	98
0.17081	0.16732	0.17317	3.000	0.525	0.175	0.176	0.824	21	98
0.17081	0.16732	0.17317	3.000	0.525	0.175	0.176	0.824	21	98
0.17081	0.16732	0.17317	3.000	0.525	0.175	0.176	0.824	21	98
0.17081	0.16732	0.17317	3.000	0.525	0.175	0.176	0.824	21	98
0.13415	0.03951	0.17294	0.028	0.025	0.880	0.002	0.998	1	493
